Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
tara_131_00_a	HDR20110929193555	2011-09-29 19:35:55	2.5	40.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.471994025392084	10.107045058501368	3.808812546676624	3.4602937515558874	2.2902663679362707	1.2944983818770226	0.7219317898929549	0.7219317898929549	0.27383619616629323	0.12447099825740601	0.024894199651481205	0.04978839930296241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0647879064619452	0.13248537008462	0.104973159841112	0.175698494961602	0.237929905570224	0.270061214431536	0.261937187066187	0.552320751637062	0.414732299748268	0.35379834388899	0.14549408360783	0.689427797882707	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.081665	54.710801000000004		3.7125	1.43071	23.199350000000003						26.1772	35.29345	3.5			26.177950000000003	0.0003365	0.000676		0.0557345	-2.4280425		195.4715													
tara_131_00_a	HDR20110929193555	2011-09-29 19:35:55	7.5	58.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.55322772951797	8.976324305910406	3.781297904956566	2.997785726452052	2.3846022824050417	1.481859989780276	0.9538409129620167	0.6642820643842616	0.18736160790325326	0.05109862033725089	0.034065746891500596	0.017032873445750298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0652098888341104	0.115250687957111	0.107013299288552	0.155706993757543	0.245369393232822	0.305753675587698	0.38572232793043	0.491566610321858	0.284297407056544	0.123324337479551	0.208580050427619	0.241130785832988	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.081665	54.701728		6.943099999999999	1.2902006	23.20357						26.16558	35.29418	7.0			26.16712	0.0003422	0.000715		0.056054599999999996	-2.2586518		194.9341													
tara_131_00_a	HDR20110929193555	2011-09-29 19:35:55	12.5	48.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.096467671968602	9.04771741375749	3.4290435860359434	3.0778764718033464	2.6853955794257387	1.363354678785375	0.7229911175376988	0.30985333608758525	0.10328444536252841	0.14459822350753979	0.041313778145011366	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.068031841643439	0.119391856830561	0.0945502836669507	0.159041009768246	0.277695897041469	0.270930048900082	0.278756490853892	0.255400943061008	0.159520827493693	0.514848647103179	0.280436143820684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04550800000000001	54.69835499999999		11.930299999999999	1.4182692	23.21096						26.15299	35.298860000000005	12.0			26.155700000000003	0.0003456	0.0007384		0.0558412	-2.246987		195.11129999999997													
tara_131_00_a	HDR20110929193555	2011-09-29 19:35:55	17.5	39.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.785385794583545	7.9202861522738885	3.6791006642820645	2.759325498211548	2.2738886050076648	1.6351558507920285	0.8686765457332651	0.45988758303525806	0.17884517118037813	0.1532958610117527	0.05109862033725089	0.07664793050587634	0.025549310168625446	0.025549310168625446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.050831860427675	0.103342954165922	0.10616672722167	0.14935069522728	0.234757548192907	0.345285327194749	0.332033691621148	0.35706633220571	0.300262514859127	0.459153610383163	0.272508598453722	0.890580373351892	0.461824560595509	1.46630318078358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012842000000000001	54.6748466		16.907	1.1743287999999998	23.228450000000002						26.11701	35.30706	17.0			26.120839999999998	0.0003492000000000001	0.000763		0.054987799999999996	-2.1906925999999998		195.4691													
tara_131_00_a	HDR20110929193555	2011-09-29 19:35:55	22.5	33.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.649897028537804	6.295969402765519	3.118564283612827	2.1182700794351277	1.7652250661959399	1.235657546337158	0.6472491909385113	0.5001471020888496	0.11768167107972932	0.0	0.02942041776993233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.050128040855332	0.0835075878181721	0.0867753452459993	0.111705167059197	0.173460210966097	0.250107933425098	0.2513697329203	0.40208224683978	0.179588587901876	0.0	0.158678711128437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007711600000000001	54.6508108		21.862900000000003	1.4451025999999998	23.240069999999996						26.087130000000002	35.31006000000001	22.0			26.092080000000003	0.00035840000000000004	0.0008253999999999999		0.0532118	-2.1376946		195.28519999999997													
tara_131_00_a	HDR20110929193555	2011-09-29 19:35:55	27.5	36.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.6282940360610265	5.21497919556172	2.302357836338419	2.0249653259361997	1.9140083217753123	0.8599167822468794	0.3606102635228849	0.3051317614424411	0.1386962552011096	0.08321775312066575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0396264782893848	0.0681053702013567	0.0633621970112531	0.102988305526297	0.19719663652147	0.168209008435644	0.132868793696354	0.241705710206857	0.20764208713782	0.243601525837799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007711600000000001	54.64265880000001		26.8825	1.3641146	23.24513						26.074489999999997	35.31159999999999	27.0			26.08053	0.0003444	0.0007306		0.05255459999999999	-2.3636337999999997		195.13809999999998													
tara_131_00_a	HDR20110929193555	2011-09-29 19:35:55	32.5	35.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.766990291262135	5.197030268418047	2.1130782410051396	1.5419760137064533	1.5705311250713876	0.9994288977727013	0.5139920045688178	0.4283266704740148	0.1427755568246716	0.02855511136493432	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0403469597128282	0.0666940667381554	0.0587170001880481	0.0805207757279159	0.167962616882327	0.204411426468957	0.193322723103376	0.362588884781782	0.219465023281683	0.0761468948189529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0231348	54.6347946		31.7871	1.304593	23.24998						26.06216	35.312929999999994	32.0			26.069309999999994	0.0003376	0.000681		0.05289200000000001	-1.9614574		195.2025													
tara_131_00_a	HDR20110929193555	2011-09-29 19:35:55	37.5	41.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.300970873786408	4.975728155339805	2.5485436893203883	1.674757281553398	1.2864077669902911	0.7766990291262136	0.4368932038834951	0.3398058252427184	0.07281553398058252	0.12135922330097086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0431208131930851	0.0639945930122814	0.0718495324631756	0.0856818760740663	0.132345625594505	0.156755072983338	0.175861110096592	0.262240972182623	0.140193164145342	0.414044165189667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019585	54.6329886		36.765699999999995	1.2987385999999999	23.25183						26.056959999999997	35.31314	37.0			26.06524	0.0003376	0.0006823999999999999		0.0545098	-2.1906928		195.02439999999999													
tara_131_00_a	HDR20110929193555	2011-09-29 19:35:55	42.5	23.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.935837906289573	4.812157028281975	2.23723089911355	1.646264246517518	0.8442380751371886	0.9286618826509075	0.6753904601097509	0.29548332629801605	0.16884761502743773	0.08442380751371886	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0412240675326723	0.064982604375322	0.0629918382468224	0.0886738208471524	0.0893972449832628	0.17675967351638	0.252521816313221	0.226847345910647	0.32033964498611	0.24181868744572	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012842000000000001	54.6347592		41.726	1.2992266	23.253059999999998						26.054790000000004	35.313810000000004	42.0			26.06411	0.0003491999999999999	0.0007618		0.052981	-2.165842		195.14800000000002													
tara_131_00_a	HDR20110929193555	2011-09-29 19:35:55	47.5	43.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.165973185390661	4.230235783633842	1.9186315302820158	1.4563106796116505	0.8552935737401757	0.6241331484049931	0.27739251040221913	0.27739251040221913	0.04623208506703653	0.04623208506703653	0.04623208506703653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0372248735445736	0.056159065310775	0.0542200877692049	0.0759632865239234	0.089133956342161	0.122374991275157	0.109055817481032	0.198368768043681	0.0952347589145019	0.152569332288591	0.330862032534296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0231348	54.62059800000001		46.72260000000001	1.3406964000000001	23.25531						26.041539999999998	35.31138	47.0			26.052020000000006	0.0003352	0.0006654		0.053673399999999996	-2.4635436		194.9116													
tara_131_00_a	HDR20110929193555	2011-09-29 19:35:55	52.5	40.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.91212347523027	6.248444112521782	2.588996763754045	1.344286781179985	1.0206621857107294	0.29873039581777444	0.12447099825740601	0.14936519790888722	0.07468259895444361	0.0	0.024894199651481205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046295549926899	0.0809392342318202	0.0711218503505011	0.07083443405006	0.106730957196819	0.0546088360336066	0.0507177565270893	0.0963376825864013	0.0984585099884339	0.0	0.125192508075629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043331800000000004	54.627574		51.71110000000001	1.3436238	23.270220000000002						26.026729999999997	35.325199999999995	52.0			26.03835	0.0003376000000000001	0.0006838		0.05193300000000001	-2.4478218		196.1671													
tara_131_00_a	HDR20110929193555	2011-09-29 19:35:55	57.5	27.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.527148507731033	9.025530384753687	3.5239122617763394	2.445163610212154	1.2944983818770228	0.6112909025530385	0.21574973031283712	0.0719165767709457	0.0719165767709457	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0754637579814008	0.118298395197271	0.0987381764794282	0.123831932814791	0.129319924380677	0.122796837340921	0.0871349251377696	0.0549796351671603	0.106059857383651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0427198	54.9090866		56.689800000000005	1.4241240000000002	23.30348						26.159730000000003	35.42479999999999	57.0			26.17251	0.0003864	0.0010166		0.05299860000000001	-1.8402464000000003		196.5281													
tara_131_00_a	HDR20110929193555	2011-09-29 19:35:55	62.5	31.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.898841215158159	8.142812402129659	3.3823989978077043	1.2840588787973692	1.4093329157532102	0.4697776385844034	0.4384591293454432	0.03131850923896023	0.06263701847792046	0.03131850923896023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0566158950809041	0.106136104959371	0.0949971316454014	0.0663815368731221	0.142455482850898	0.098002084878697	0.173309139944363	0.0275942883148873	0.105497932295488	0.083515949156271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.055205199999999996	54.82429499999999		61.6126	1.293372	23.33594						26.071189999999994	35.42993	62.0			26.085089999999997	0.00037	0.0009045999999999999		0.0541174	-2.1541772000000003		198.5052													
tara_131_00_a	HDR20110929193555	2011-09-29 19:35:55	67.5	44.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.22804244750508	8.308873334838564	2.9577782795213365	1.7611198916233912	0.7225107247685708	0.3838338225333032	0.15804922104312485	0.045156920298035676	0.045156920298035676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0531313161334627	0.109735616592322	0.0819242847967407	0.0921920724844	0.070977443874991	0.0729611291620922	0.0669625584783978	0.0328969219968137	0.0561406556515323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030846400000000003	54.47476819999999		66.6433	1.4241242	23.42569						25.752660000000002	35.41698	67.0			25.76757	0.00035380000000000003	0.000793		0.0523416	-2.4437648000000003		201.49410000000003													
tara_131_00_a	HDR20110929193555	2011-09-29 19:35:55	72.5	35.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.279840091376355	6.824671616219303	1.5705311250713876	1.7989720159908622	0.6282124500285551	0.22844089091947456	0.2569960022844089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0534003878552138	0.0905998428283186	0.043752625287399	0.0937814355655749	0.0657542019940948	0.04353012801388	0.10841158121648	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0510434	54.2777482		71.5548	1.3465508	23.50875						25.53657	35.4394	72.0			25.55247	0.0003404	0.000698		0.049785	-2.4386927999999997		202.58499999999998													
tara_131_00_a	HDR20110929193555	2011-09-29 19:35:55	77.5	47.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.999155761924863	6.542845082313212	1.5407344871253692	0.7598142676234698	0.5909666525960321	0.16884761502743773	0.04221190375685943	0.021105951878429716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0415529829651138	0.0846922495413171	0.0427005479132145	0.0405787836713001	0.0603097608242408	0.0323650335635967	0.0140042497233483	0.0216790569717387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057200200000000014	54.0068016		76.5275	1.2933717999999998	23.61481						25.24773	35.46225	77.0			25.264580000000002	0.0003262	0.000603		0.047797599999999996	-2.085711		204.86129999999997													
tara_131_00_a	HDR20110929193555	2011-09-29 19:35:55	82.5	43.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.743874248728618	4.553860379103098	1.410078594544614	0.9246417013407305	0.3236245954692557	0.16181229773462785	0.06934812760055478	0.023116042533518264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0402268794755876	0.0580044345070342	0.040417265647717	0.0476849548671362	0.0316041766092322	0.0321499808353443	0.0285491867477584	0.0157054097584488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.049960000000000004	53.282355599999995		81.5417	1.4241238	23.762610000000002						24.63208	35.41136	82.0			24.64969	0.00033820000000000003	0.0006838		0.0482588	-2.2213756		206.7817													
tara_131_00_a	HDR20110929193555	2011-09-29 19:35:55	87.5	41.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.572815533980582	4.004854368932039	1.116504854368932	0.9466019417475727	0.4368932038834951	0.1941747572815534	0.12135922330097086	0.024271844660194174	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0393382857200075	0.053067282126449	0.0320827363472318	0.046084066497416	0.0425553392622126	0.040218984629168	0.047828364979094	0.0196966588778515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058283600000000005	52.68537619999999		86.4456	1.3499659999999998	23.864210000000003						24.13401	35.346270000000004	87.0			24.152440000000002	0.00034060000000000004	0.0006994		0.0471414	-1.6079678000000002		211.90260000000004													
tara_131_00_a	HDR20110929193555	2011-09-29 19:35:55	92.5	33.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.619888202412474	5.207413945278023	1.8829067372756692	0.794351279788173	0.26478375992939096	0.3824654310091203	0.02942041776993233	0.02942041776993233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0395828127485701	0.0685243734165157	0.052042354252447	0.0400016828961972	0.0262567943120327	0.0784520277059783	0.0123060640607639	0.0238747380337593	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07865200000000001	52.41606320000001		91.425	1.4060724000000002	23.94887						23.86599	35.35283	92.0			23.885309999999997	0.00033580000000000003	0.0006667999999999999		0.0473542	-2.1595024		213.01910000000004													
