Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
s50c1a	HDR20220329210333	2022-03-29 21:03:33	2.5	210.5624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.991101925130033	10.832893242098304	5.513804933834341	4.758684361500439	4.677948199678575	2.34609787882357	1.6052248644582319	0.5604039467635248	0.29444953135032653	0.1424755796856419	0.1139804637485135	0.08548534781138513	0.052241045884735354	0.009498371979042792	0.009498371979042792	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00893934403586035	0.01721746251387489	0.01831633266795597	0.02878394992211986	0.05786430756354957	0.05766188663441777	0.07773240811645189	0.05552092358434184	0.05878310938502941	0.05617247838717465	0.08364619388413057	0.138877123803897	0.15951310853420417	0.060644035921702685	0.1085452537207686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1a	HDR20220329210333	2022-03-29 21:03:33	7.5	258.3062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.544753474752058	11.261828016516832	5.408309982493646	5.234098136242955	5.342496618354496	2.6170490681214775	1.656948226562119	0.6697477644748752	0.27486757963997765	0.17034047188956364	0.08517023594478182	0.08129886158365537	0.046456492333517355	0.0038713743611264464	0.0038713743611264464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009293088987797899	0.017882827251093057	0.018098412919820377	0.031810738150528	0.06611917176274204	0.06526438634522054	0.07916872584085148	0.06449420091790897	0.05393044434798123	0.0676957324314503	0.06718006469162549	0.1339306326798267	0.148807353770574	0.0175972132322809	0.03689608777895516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1a	HDR20220329210333	2022-03-29 21:03:33	12.5	235.0464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.389043184664814	7.211342100963894	2.3527269509339432	1.5188490442738114	1.1104190491749715	0.4467203071393563	0.33184937101780754	0.11912541523716168	0.15741572727767794	0.07658062408103251	0.07232614496541959	0.02978135380929042	0.0	0.008508958231225834	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007915739581878602	0.011136633559391738	0.0076670487794182375	0.009141626397983563	0.013423086678605306	0.010983527201178924	0.015791276478187434	0.011432716085199171	0.030883637094663338	0.029363423752354154	0.056145046144874575	0.05182376793027464	0.0	0.04623477107291818	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1a	HDR20220329210333	2022-03-29 21:03:33	17.5	181.1816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.694445793612596	7.4566070726828775	2.6713529409167376	1.8820895720095197	1.6171620076210829	0.5684903985835206	0.3973913465826552	0.22629229458178976	0.11038648516184867	0.08830918812947892	0.0827898638713865	0.027596621290462166	0.005519324258092433	0.011038648516184866	0.005519324258092433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008110870673442584	0.011457433342415384	0.008673964461831035	0.01131730081980491	0.020001440993579287	0.013952370334112276	0.018895845611242443	0.021925515792334867	0.021660308669614183	0.03841961220667702	0.07080899675022204	0.03846895856603149	0.013108615311152988	0.06941471085219632	0.05598857786419453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1a	HDR20220329210333	2022-03-29 21:03:33	22.5	135.8862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.03380181357636	8.485041159440767	3.068744287499393	2.0384704259888053	1.5969244853414106	0.7800644951437306	0.5077778317445039	0.3385185544963359	0.17661837625895785	0.11038648516184867	0.08830918812947892	0.029436396043159643	0.007359099010789911	0.007359099010789911	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008966626303915945	0.013117108711269795	0.010154687562050261	0.012395388335237411	0.019742934979127574	0.018928769140422196	0.024415821434878793	0.03460375405337336	0.03628990207858348	0.04529084231238806	0.07073790296746589	0.04376829220642514	0.019238731149378477	0.04939801971854061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1a	HDR20220329210333	2022-03-29 21:03:33	27.5	126.0926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.322072825843863	9.62784493300955	3.6084591799994605	2.617124240439169	1.9350858020216888	0.9596122214943621	0.45204873243949284	0.2061976674285406	0.13482155178019964	0.05551475661537632	0.06344543613185864	0.039653397582411654	0.00793067951648233	0.00793067951648233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00978974215652798	0.014701639976101032	0.011849888832976115	0.015570843456115094	0.023399266154490093	0.02347760515136638	0.021971814259296195	0.020645406212470026	0.027476349021904392	0.020702241213939723	0.05395192114949687	0.06431100270734423	0.020840486851004775	0.05749028030039434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1a	HDR20220329210333	2022-03-29 21:03:33	32.5	129.7652	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.62233017789053	10.387993082891253	3.9687065561491064	3.097902981693089	2.150037144010875	0.9709845166500727	0.5317296162607541	0.27742414761430645	0.14641830012977286	0.12329962116191398	0.08476848954881587	0.023118678967858873	0.007706226322619624	0.007706226322619624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010620516449167828	0.016170856672793454	0.013076253791577465	0.018822880805416543	0.026673400535877034	0.024104641218622366	0.02574828332520275	0.028107933155469975	0.027883139079107028	0.04782523168243709	0.05889787136516213	0.03004394779767731	0.01800207895198971	0.038056643687330735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1a	HDR20220329210333	2022-03-29 21:03:33	37.5	317.0678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.961458085620805	11.28780658269304	4.210455934030514	2.9962045972501783	2.3496551841593503	1.189020140171913	0.5298551287768736	0.23969636778001427	0.1829261754110635	0.07253969024921485	0.03153899576052819	0.04100069448868665	0.006307799152105638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011476126331740503	0.017465564592975307	0.01392237561563632	0.017987994501424603	0.028759233405080013	0.029234133635619056	0.025425156641183607	0.023474181582401003	0.03545051874787608	0.028719068712804063	0.023784903032115615	0.06871965211401378	0.01469624546633921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1a	HDR20220329210333	2022-03-29 21:03:33	42.5	119.9716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.445795504936168	11.027609867668682	3.959270360652021	2.8256687416021795	2.517262418772443	0.8835424383770826	0.6668244817940246	0.31674162885216167	0.15837081442608084	0.1166942843139543	0.050011836134551846	0.04167653011212654	0.008335306022425307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011146653696931094	0.017144278150493637	0.013042645469959728	0.0169221976233598	0.03118537855043434	0.02210461094589196	0.03290709835166755	0.03095122699866526	0.02941782408780532	0.04666378225741541	0.04158919382754611	0.06468059250495942	0.02023334656416231	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1a	HDR20220329210333	2022-03-29 21:03:33	47.5	186.0784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.524871237069966	11.172709997506429	3.8424664012588243	3.1868287775475284	2.751528388034291	1.0909380132245334	0.6932561758914523	0.3815596006844427	0.22033723419805848	0.06986302547743317	0.026870394414397373	0.005374078882879474	0.005374078882879474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011197177606928625	0.017411346422457834	0.012684607807361558	0.019418708978428373	0.03394223761211711	0.026755889366474443	0.033959689368432584	0.03632636020891657	0.04384673710761523	0.028062235329256443	0.01839770591723255	0.007886263460110433	0.023176006804120446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1a	HDR20220329210333	2022-03-29 21:03:33	52.5	282.7902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.10808931851245	10.905611297704091	4.18684947356733	3.0764856773678857	2.1995104497963505	0.9936695118854896	0.611760945039821	0.36422761467688763	0.2263161877603962	0.13083904604897906	0.05657904694009905	0.028289523470049524	0.0	0.0	0.010608571301268572	0.0035361904337561905	0.0	0.0035361904337561905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010930882859177586	0.016968530587695756	0.01384009945554897	0.01849856870443682	0.026685312583182234	0.02425975600001886	0.030484374609018428	0.03639424965740922	0.04474946631073936	0.04943802679638994	0.043881569058688195	0.04661909122177046	0.0	0.0	0.1194534478098845	0.12305582175691626	0.0	0.34889005254999544	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1a	HDR20220329210333	2022-03-29 21:03:33	57.5	269.324	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.134291782388498	11.929868856841573	4.4555999465328	3.4085339590975923	2.3429029718851644	1.1064739867223121	0.7760169906877961	0.39357799527706405	0.19678899763853203	0.11138999866332001	0.07425999910888001	0.040842999509884	0.025990999688108002	0.007425999910888	0.003712999955444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01158655508028824	0.018615862211260006	0.014658241353431576	0.020829455474669047	0.028304101285418735	0.02709253362085885	0.03743685415265059	0.038812350081548146	0.03568958364632616	0.043458561055449485	0.06031024884243325	0.06175329484220303	0.07018311471861216	0.04165225476532267	0.035888192415287824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
s50c1a	HDR20220329210333	2022-03-29 21:03:33	62.5	164.0428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.995825479691886	11.387272102158706	4.108683831292809	2.907777726300697	2.1884532573206505	0.8595317807303947	0.542541336773086	0.21945492273967526	0.12191940152204181	0.09143955114153135	0.03657582045661254	0.04267179053271463	0.012191940152204182	0.0	0.0	0.0	0.0	0.0	0.006095970076102091	0.006095970076102091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010220223386673503	0.017698142758219272	0.01363302100470489	0.01761658610347534	0.026524893117158034	0.021304904159041276	0.027408551210077528	0.022174434760073525	0.02351375671413624	0.03554689393851581	0.027545574907796303	0.064400490920052	0.045076605565094616	0.0	0.0	0.0	0.0	0.0	1.5671365497388543	2.6600195348269	0.0	0.0	0.0	0.0	0.0																																					
