Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
msm93_035_1	HDR20200707125010	2020-07-07 12:50:10	7.5	175.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	189.44428612140211	48.25876318039328	21.68709033912796	21.68709033912796	7.495012824166429	5.511541749786264	2.7358221715588487	1.2653177543459675	0.5072670276432032	0.18238814477058993	0.039897406668566546	0.017098888572242805	0.0	0.005699629524080935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08653938521689951	0.04474971089331464	0.03323357870859808	0.06253215010639022	0.04566925983193928	0.06662540572119388	0.06835775939820879	0.06027445242706685	0.046019719742926166	0.03317311886904812	0.015670268956521256	0.012238052161858614	0.0	0.025613380236948112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
msm93_035_1	HDR20200707125010	2020-07-07 12:50:10	12.5	186.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	189.39572823870344	47.94461736610497	22.46967908124933	23.027798647633357	7.448749597509928	5.50069764945798	2.801330900504454	1.4704303960502307	0.633251046474187	0.15026296018031554	0.03219920575292476	0.01609960287646238	0.0053665342921541265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0865172036594495	0.044458407647203727	0.034432827854106056	0.06628265617225476	0.04606357831599687	0.06679161104493206	0.07247318249776555	0.07235197388329878	0.06075654125767263	0.029041521310414233	0.01201581622993043	0.013151426049508702	0.009721062546666298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
msm93_035_1	HDR20200707125010	2020-07-07 12:50:10	17.5	180.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	201.3700149758722	50.11370569637806	23.473293027899498	24.294192689555718	8.5029674413445	6.217760275112319	3.039547395862222	1.464307504575961	0.6378612235842255	0.21077153474957014	0.03327971601309002	0.02773309667757502	0.005546619335515004	0.01663985800654501	0.0	0.0	0.0	0.011093238671030008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09198713592218027	0.04646977448060031	0.03597077889168107	0.07034024582702268	0.05194585449447779	0.07642715477398426	0.07676824728142152	0.07229919235819668	0.058384522339992286	0.038229086333727985	0.01281689059254362	0.02189254067926134	0.010354363289846426	0.04033831421395207	0.0	0.0	0.0	0.5300474652479481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
msm93_035_1	HDR20200707125010	2020-07-07 12:50:10	22.5	194.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	163.47723422822236	44.17124377598686	22.601509162773986	24.68045788203891	8.577588419485652	6.298444638365587	3.1517889225399105	1.6220933216980649	0.980442482418767	0.25152712899748475	0.1180637544273908	0.02566603357117191	0.010266413428468764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07467746658774095	0.040959408374904555	0.0346348459820338	0.07179303382151934	0.05255658678252729	0.07631591742443922	0.08001216133933278	0.07913249546364795	0.09564246706041674	0.0498765819813267	0.04798756133904284	0.022435182647295826	0.013903632782158814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
msm93_035_1	HDR20200707125010	2020-07-07 12:50:10	27.5	186.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.03252119781045	34.7214768702372	22.93656756466674	31.394225609101643	13.126542878608994	10.652570569925942	4.910378877321026	2.6886336803692177	1.44359772458946	0.7083825265643447	0.4024900719115595	0.20929483739401095	0.07513148009015777	0.10733068584308253	0.037565740045078885	0.01609960287646238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04158424928242213	0.03219676488441998	0.035148293825758126	0.09211341917118174	0.08106848403299916	0.12824156460387842	0.12575947631121337	0.13242983086889024	0.14170037783642772	0.13826392152106526	0.15360020379197387	0.15580833422267704	0.11606718859301794	0.33382740440854025	0.2263634179835966	0.15374679343613476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
msm93_035_1	HDR20200707125010	2020-07-07 12:50:10	32.5	186.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.79145647740688	34.20628957819041	23.843511860040785	34.490715895674576	14.779435440592465	12.037136417301706	5.978319201459697	3.2360201781689386	2.02854996243426	1.1752710099817538	0.5634861006761833	0.2790597831920146	0.1609960287646238	0.11806375442739078	0.05903187721369539	0.0	0.0053665342921541265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03599245109736024	0.03171903854301281	0.03653810703505928	0.10223185801711679	0.09116037281492446	0.1450773332248679	0.15094868249000873	0.16176177088763924	0.20031345072552895	0.23375833652477143	0.21584760831628838	0.21819824881354122	0.2506156702990442	0.37283819272512236	0.34253298934545034	0.0	0.1506432644682511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
msm93_035_1	HDR20200707125010	2020-07-07 12:50:10	37.5	198.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.7885506954243	38.67163878250353	27.257609352953033	40.01209433581939	17.184035476718403	14.316670026204395	7.563999193710946	3.6837331183229187	2.524692602297924	1.3303769401330376	0.6651884700665188	0.34267284821608546	0.11086474501108648	0.07055029227978231	0.010078613182826043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03827515632089506	0.035859697622561915	0.04176991434416688	0.11860303623607887	0.10592951552232378	0.17318635008794714	0.1916980679359291	0.18198620107424918	0.24762244157177035	0.26551288538193746	0.2596919309643944	0.25753858778660754	0.15985748991746615	0.21484507957561721	0.06768599549451695	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
msm93_035_1	HDR20200707125010	2020-07-07 12:50:10	42.5	170.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.37254557177187	43.098294355547736	30.918469022917762	44.716018990680496	19.424418263876678	16.27688881073794	7.320790106089912	3.6047125021979953	2.239024676162007	1.0550378055213645	0.49235097590997007	0.19342359767891681	0.11722642283570715	0.05275189027606822	0.03516792685071215	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04767805940325773	0.03996447661114755	0.04737986321607247	0.13312342787604406	0.11917937563768236	0.19665835878494925	0.18587885088282372	0.17699147146596625	0.21628195064006006	0.20963625525312693	0.18667938130687145	0.14448944537171704	0.18141278971344804	0.15875645310789296	0.19678674132606386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
msm93_035_1	HDR20200707125010	2020-07-07 12:50:10	47.5	191.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.29030233288	47.21728214248352	34.88858667224605	51.60058583533842	24.071555602050424	20.253164556962023	9.817972591275238	4.4460717648289565	2.3328800083690764	1.0879799142169682	0.5178365937859608	0.27199497855424204	0.11507479861910241	0.06799874463856051	0.0470760539805419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057233427090953	0.04378395934321552	0.0534637230293595	0.15376056366771915	0.14836723419206221	0.24653029806230706	0.24750146426689668	0.21728465639034886	0.22561489164666257	0.2128236907799157	0.19391834137449662	0.2089501757430145	0.17534704534772194	0.1927342479871416	0.2627017710092647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
msm93_035_1	HDR20200707125010	2020-07-07 12:50:10	52.5	206.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.65680730752501	49.427287226330286	38.6931516118119	55.62805084336185	26.649267797593158	23.952443091199072	11.763568701367745	5.301822048233531	2.7258228215166014	1.145425547339423	0.4639698419602726	0.1788217099221884	0.06766226861920642	0.038664153496689384	0.03383113430960321	0.004833019187086173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05054875114217697	0.04583326773939671	0.05929388772152717	0.16592128161500386	0.16498620433595862	0.29013063838010755	0.29648409548683274	0.2592923108651245	0.2589698869105694	0.22893929104749106	0.1807316463728196	0.13896382074253846	0.10435313594108665	0.11492644055786339	0.22489726669736207	0.05737148218379633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
msm93_035_1	HDR20200707125010	2020-07-07 12:50:10	57.5	158.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.65005362437702	45.54286795785755	35.41101507791307	48.58368557188821	22.774588354047065	20.528673269825248	10.573465396504952	5.255188947069586	2.9903476121380357	1.2554412970790487	0.5488612705822977	0.2902025108825942	0.13248375496814083	0.04416125165604694	0.03154375118289067	0.0	0.006308750236578134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04415037472533749	0.04223129728269841	0.05426429909870972	0.14435817177483323	0.14084997833689666	0.2504795832847002	0.267678902845792	0.25994454392129523	0.29375195197649123	0.24056257045290028	0.20763250357700025	0.2182414746541409	0.2074106224925698	0.11813723656002131	0.19009914260051455	0.0	0.12018135435926157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
msm93_035_1	HDR20200707125010	2020-07-07 12:50:10	62.5	197.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.06783957815749	44.87654008010952	35.684226537545	47.93388429752066	21.76646554783755	18.97784312731329	9.466105562034175	4.826851898798357	2.6770775237032907	0.9227805100643919	0.45632003244942454	0.19773868072808398	0.06084267099325661	0.03549155807939969	0.015210667748314153	0.005070222582771384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042970802511081964	0.04161342028121125	0.05468297188541301	0.14306210591421153	0.13376709612028684	0.23002023939681193	0.2408675329604839	0.2347714927947985	0.25840456316650995	0.1826221013249108	0.17297399168491215	0.15686146084037922	0.08727449820949156	0.11414532152072429	0.09257202333506458	0.06493535507514235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
msm93_035_1	HDR20200707125010	2020-07-07 12:50:10	67.5	173.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.72484540253136	43.26995318730856	34.687626423163614	48.22285152863665	21.28532624400393	16.245737733341038	7.2530775010113855	3.588973010460614	1.7569207651852279	0.8957984164595735	0.46234756978558633	0.2774085418713518	0.12714558169103624	0.028896723111599146	0.017338033866959486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0396164748899114	0.04012365356860222	0.05315576893543796	0.14348225068686563	0.13137239252138277	0.19656539969814174	0.1835170857960004	0.1778626895534201	0.16572251894671072	0.18153685304857406	0.1739696569604341	0.21816067140817105	0.2090260506305698	0.09012879716177562	0.1333449826541276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
msm93_035_1	HDR20200707125010	2020-07-07 12:50:10	72.5	136.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.20917135961385	42.44862137058437	36.22467636948731	50.471732611716526	20.70503912820888	16.06816353397206	6.362904995246106	2.932787244935274	1.5651283551524904	0.6289768156220289	0.37299787903166826	0.24135156878519712	0.06582315512323558	0.043882103415490384	0.029254735610326925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03664007250010034	0.039362043470794715	0.05551116422228441	0.1502600046694032	0.12690637263480986	0.19222266810355443	0.1600734058971078	0.1445848303974022	0.14937600969255233	0.1287405249172065	0.14560450800825148	0.17313287187962628	0.10075251424012335	0.14546950103724943	0.16475446141833225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
msm93_035_1	HDR20200707125010	2020-07-07 12:50:10	77.5	206.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.06514909864192	38.49016480595428	32.777536126818426	46.93344932579382	20.89797496496061	16.040790681939008	6.688898554927263	2.9819728384321684	1.454738775312938	0.5654632448890822	0.3238122855347736	0.11599246049006814	0.07732830699337877	0.09182736455463729	0.019332076748344692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03291983002624916	0.03569141921155326	0.05022872177459371	0.1398119932348032	0.12870805360726686	0.19177446459802086	0.16684900734582733	0.14776731829853706	0.1415928995470207	0.11160042341862256	0.12468062803089179	0.08778504790396968	0.12067822320972574	0.3025827999669574	0.12559488696076795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
msm93_035_1	HDR20200707125010	2020-07-07 12:50:10	82.5	180.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.35204392922514	31.54917078040934	27.527871762160963	43.57424149980587	19.39652781629597	15.713572577514006	6.68367629929558	2.684563758389262	1.370014975872206	0.48255588218980533	0.31061068278884024	0.21631815408508515	0.1442121027233901	0.08319929003272505	0.03882633534860503	0.005546619335515004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026198787644548794	0.029255127531339742	0.04218406796772523	0.13045492935720102	0.11921839297443194	0.18973378790515633	0.16702819139358435	0.13192002801700248	0.13485310735397749	0.09339052436887028	0.12157539247118743	0.1667530043155905	0.22497860850121196	0.24818029721987564	0.22670347727770207	0.0515910716941579	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
msm93_035_1	HDR20200707125010	2020-07-07 12:50:10	87.5	188.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.94045348590804	26.04895104895105	22.955075227802503	36.90400508582327	18.081161262979446	14.627039627039627	6.887052341597797	3.088578088578089	1.7800381436745074	0.7469802924348379	0.40792540792540793	0.31256622165713077	0.11655011655011656	0.07416825598643781	0.026488662852299217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022356318280260207	0.024154846740628077	0.03517665520895506	0.11101458639928659	0.11137138389090635	0.17753735886384978	0.17543664586979088	0.14912001937234998	0.1730955830837915	0.14875885294871474	0.15225073229106006	0.2422323525480683	0.18271359513513377	0.24671498861863808	0.17601483223096753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
msm93_035_1	HDR20200707125010	2020-07-07 12:50:10	92.5	185.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.05741911089505	23.518608545346513	20.310052395613894	33.60341381731756	17.079889807162534	13.75789985415654	6.066007670285745	3.0086965915842923	1.4314265651164046	0.7130124777183601	0.3997191162966564	0.24847404526548914	0.1998595581483282	0.07562253551558365	0.08642575487495274	0.010803219359369093	0.005401609679684546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022409748940456525	0.021808493704722397	0.03112338789162467	0.10156844190097693	0.10513631806873944	0.16591949404993253	0.1540323351495465	0.14615238688390603	0.14306285819219097	0.14209500071010678	0.16782109228537107	0.18470633333281666	0.30412206013837134	0.23028677878322004	0.5470226970442638	0.1428024563089977	0.13846470517847825	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
msm93_035_1	HDR20200707125010	2020-07-07 12:50:10	97.5	176.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.23208422959357	25.597192346881016	21.03475602852938	33.86731574776407	15.74776406656855	12.413675987773123	4.981320049813201	2.1963092946903657	1.1038152383108797	0.43586550435865506	0.2943507302162346	0.1471753651081173	0.0905694554511491	0.04528472772557455	0.04528472772557455	0.005660590965696819	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02294634362636203	0.023735936889258603	0.03223393314450492	0.1017077553419063	0.09707105912761409	0.14861130567668726	0.12441870070376704	0.10759077733405559	0.10916169082143469	0.08673582029978895	0.11500586216412151	0.11888799132431747	0.13583772847193712	0.1453843467447821	0.30381345928723563	0.05249464025460102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
msm93_035_1	HDR20200707125010	2020-07-07 12:50:10	102.5	197.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.42138619885413	20.66622724737616	17.279318562084878	26.45642143690108	13.278912944278254	11.2863154692491	5.303452821578867	2.7632713076104043	1.3131876489377885	0.633777822846423	0.370126248542311	0.0912640064898849	0.14196623231759875	0.07605333874157076	0.03549155807939969	0.010140445165542768	0.015210667748314153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01983517235513965	0.019163518366988708	0.02647905202976521	0.07969644903656671	0.08160487025940413	0.13777998126254098	0.13318124178748325	0.1353711013231038	0.12717239506880165	0.12440041661431891	0.143174175321496	0.07164175991349211	0.2356637793144222	0.2330164161955361	0.23353363617732298	0.1263233797170624	0.46562684530815274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
msm93_035_1	HDR20200707125010	2020-07-07 12:50:10	107.5	180.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.76909423706251	23.573132175938767	18.409229574574297	27.256087414720728	12.313494924843308	10.422097731432693	4.437295468412003	2.2408342115480617	1.1148704864385157	0.6156747462421654	0.2828775861112652	0.21077153474957014	0.11647900604581508	0.04991957401963504	0.04991957401963504	0.005546619335515004	0.005546619335515004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021364427216521802	0.02185905274405659	0.028210542330219635	0.08155622539128475	0.07605161052100505	0.12630754165843713	0.11213074548634178	0.11063093336618995	0.11013703321632937	0.12005608721259674	0.11091780605831104	0.15037543307913637	0.18221990561444054	0.147267448727825	0.2890319593263666	0.05950660847957673	0.1009143997298728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
