Profile	Rawfilename	yyyy-mm-dd hh:mm	Depth [m]	Sampled volume [L]	LPM (1-1.26 µm) [# l-1]	LPM (1.26-1.59 µm) [# l-1]	LPM (1.59-2 µm) [# l-1]	LPM (2-2.52 µm) [# l-1]	LPM (2.52-3.17 µm) [# l-1]	LPM (3.17-4 µm) [# l-1]	LPM (4-5.04 µm) [# l-1]	LPM (5.04-6.35 µm) [# l-1]	LPM (6.35-8 µm) [# l-1]	LPM (8-10.1 µm) [# l-1]	LPM (10.1-12.7 µm) [# l-1]	LPM (12.7-16 µm) [# l-1]	LPM (16-20.2 µm) [# l-1]	LPM (20.2-25.4 µm) [# l-1]	LPM (25.4-32 µm) [# l-1]	LPM (32-40.3 µm) [# l-1]	LPM (40.3-50.8 µm) [# l-1]	LPM (50.8-64 µm) [# l-1]	LPM (64-80.6 µm) [# l-1]	LPM (80.6-102 µm) [# l-1]	LPM (102-128 µm) [# l-1]	LPM (128-161 µm) [# l-1]	LPM (161-203 µm) [# l-1]	LPM (203-256 µm) [# l-1]	LPM (256-323 µm) [# l-1]	LPM (323-406 µm) [# l-1]	LPM (406-512 µm) [# l-1]	LPM (512-645 µm) [# l-1]	LPM (645-813 µm) [# l-1]	LPM (0.813-1.02 mm) [# l-1]	LPM (1.02-1.29 mm) [# l-1]	LPM (1.29-1.63 mm) [# l-1]	LPM (1.63-2.05 mm) [# l-1]	LPM (2.05-2.58 mm) [# l-1]	LPM (2.58-3.25 mm) [# l-1]	LPM (3.25-4.1 mm) [# l-1]	LPM (4.1-5.16 mm) [# l-1]	LPM (5.16-6.5 mm) [# l-1]	LPM (6.5-8.19 mm) [# l-1]	LPM (8.19-10.3 mm) [# l-1]	LPM (10.3-13 mm) [# l-1]	LPM (13-16.4 mm) [# l-1]	LPM (16.4-20.6 mm) [# l-1]	LPM (20.6-26 mm) [# l-1]	LPM (>26 mm) [# l-1]	LPM biovolume (1-1.26 µm) [mm3 l-1]	LPM biovolume (1.26-1.59 µm) [mm3 l-1]	LPM biovolume (1.59-2 µm) [mm3 l-1]	LPM biovolume (2-2.52 µm) [mm3 l-1]	LPM biovolume (2.52-3.17 µm) [mm3 l-1]	LPM biovolume (3.17-4 µm) [mm3 l-1]	LPM biovolume (4-5.04 µm) [mm3 l-1]	LPM biovolume (5.04-6.35 µm) [mm3 l-1]	LPM biovolume (6.35-8 µm) [mm3 l-1]	LPM biovolume (8-10.1 µm) [mm3 l-1]	LPM biovolume (10.1-12.7 µm) [mm3 l-1]	LPM biovolume (12.7-16 µm) [mm3 l-1]	LPM biovolume (16-20.2 µm) [mm3 l-1]	LPM biovolume (20.2-25.4 µm) [mm3 l-1]	LPM biovolume (25.4-32 µm) [mm3 l-1]	LPM biovolume (32-40.3 µm) [mm3 l-1]	LPM biovolume (40.3-50.8 µm) [mm3 l-1]	LPM biovolume (50.8-64 µm) [mm3 l-1]	LPM biovolume (64-80.6 µm) [mm3 l-1]	LPM biovolume (80.6-102 µm) [mm3 l-1]	LPM biovolume (102-128 µm) [mm3 l-1]	LPM biovolume (128-161 µm) [mm3 l-1]	LPM biovolume (161-203 µm) [mm3 l-1]	LPM biovolume (203-256 µm) [mm3 l-1]	LPM biovolume (256-323 µm) [mm3 l-1]	LPM biovolume (323-406 µm) [mm3 l-1]	LPM biovolume (406-512 µm) [mm3 l-1]	LPM biovolume (512-645 µm) [mm3 l-1]	LPM biovolume (645-813 µm) [mm3 l-1]	LPM biovolume (0.813-1.02 mm) [mm3 l-1]	LPM biovolume (1.02-1.29 mm) [mm3 l-1]	LPM biovolume (1.29-1.63 mm) [mm3 l-1]	LPM biovolume (1.63-2.05 mm) [mm3 l-1]	LPM biovolume (2.05-2.58 mm) [mm3 l-1]	LPM biovolume (2.58-3.25 mm) [mm3 l-1]	LPM biovolume (3.25-4.1 mm) [mm3 l-1]	LPM biovolume (4.1-5.16 mm) [mm3 l-1]	LPM biovolume (5.16-6.5 mm) [mm3 l-1]	LPM biovolume (6.5-8.19 mm) [mm3 l-1]	LPM biovolume (8.19-10.3 mm) [mm3 l-1]	LPM biovolume (10.3-13 mm) [mm3 l-1]	LPM biovolume (13-16.4 mm) [mm3 l-1]	LPM biovolume (16.4-20.6 mm) [mm3 l-1]	LPM biovolume (20.6-26 mm) [mm3 l-1]	LPM biovolume (>26 mm) [mm3 l-1]	chloro fluo [mg chl m-3]	conductivity [ms cm-1]	cpar [%]	depth [m]	fcdom [ppb qse]	in situ density anomaly [kg m-3]	nitrate [umol l-1]	oxygen [umol kg-1]	oxygen [ml l-1]	par [umol m-2 s-1]	potential density anomaly [kg m-3]	potential temperature [degc]	practical salinity [psu]	pressure [db]	qc flag	spar [umol m-2 s-1]	temperature [degc]	extrames01	extrames02	extrames03	extrames04	extrames05	extrames06	extrames07	extrames08	extrames09	extrames10	extrames11	extrames12	extrames13	extrames14	extrames15	extrames16	extrames17	extrames18	extrames19	extrames20
ctd142	HDR20180908220048	2018-09-08 22:00:48	2.5	84.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.191037735849058	4.2334905660377355	3.172169811320755	3.242924528301887	2.617924528301887	1.6391509433962266	2.311320754716981	1.580188679245283	1.4504716981132075	0.919811320754717	0.7311320754716981	0.36556603773584906	0.2358490566037736	0.20047169811320756	0.20047169811320756	0.1768867924528302	0.04716981132075472	0.02358490566037736	0.02358490566037736	0.01179245283018868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00247808480025788	0.00209220913012247	0.00277103252200833	0.00524955819285012	0.00894073200793925	0.0104099411829805	0.0281764151454898	0.0388043983736165	0.0723408440042487	0.0911865397746494	0.146178210019699	0.151179340237665	0.184491485296493	0.36096942214361	0.638500422598066	1.10914437364027	0.675222206379999	0.570489541204689	0.96449289413341	0.857455415773551	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
ctd142	HDR20180908220048	2018-09-08 22:00:48	7.5	248.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.961941622318982	3.9832285115303985	2.5076600548298664	3.1043380099983873	2.7414933075310435	1.7335913562328658	1.9432349621028866	1.3344621835187873	1.072407676181261	0.7740686985970006	0.5039509756490889	0.34268666344138043	0.2660861151427189	0.15723270440251572	0.12497984196097404	0.10079019512981778	0.028221254636348978	0.036284470246734396	0.008063215610385421	0.004031607805192711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00242735495641879	0.00196852855325667	0.00219055346320869	0.00499711361695387	0.00922022119529153	0.0111979168969183	0.0239985247108596	0.0336164974933496	0.0516407048081734	0.0766774463647123	0.102897615466377	0.130998104809776	0.20573597314208	0.248508012881733	0.369010838128481	0.603552195284699	0.305661041964637	0.910195031167545	0.425473318822646	0.369209063181528	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
ctd142	HDR20180908220048	2018-09-08 22:00:48	12.5	318.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.88679245283019	3.842767295597484	2.60062893081761	2.9685534591194966	2.5786163522012577	1.7169811320754718	2.1823899371069184	1.4245283018867925	1.2672955974842768	0.8553459119496856	0.5125786163522013	0.34276729559748426	0.3584905660377358	0.20440251572327045	0.11949685534591195	0.07861635220125786	0.031446540880503145	0.009433962264150943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00241071431780619	0.00189911202006288	0.00227176594369357	0.00478616742375299	0.00866666589151419	0.0110522104463925	0.0274479699386426	0.0355843704325332	0.0619886436552804	0.0844721021822386	0.100585093916083	0.135611953519526	0.283899664435845	0.32365458529699	0.349896794213569	0.46325803181588	0.39533551166183	0.181762369495284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
ctd142	HDR20180908220048	2018-09-08 22:00:48	17.5	205.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.095312196070804	3.4964014783116126	2.42170783894184	2.791285742073527	2.601633923361214	1.6582376969461194	2.061855670103093	1.410231472476172	1.2059910523244506	0.6808014005057382	0.4619723789146081	0.3404007002528691	0.2528690916164171	0.18478895156584324	0.12157167866173897	0.09725734292939117	0.053491538611165144	0.024314335732347793	0.014588601439408676	0.004862867146469559	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00223545307391844	0.00172793655291968	0.00211547034984118	0.00447662939498481	0.00889250932767154	0.0106139632138224	0.0256394024107834	0.0355123431976301	0.0594360026607092	0.0661521682246332	0.0894327412279944	0.130530468357152	0.202515598024168	0.292552450043383	0.376871693587644	0.576900829662273	0.603056597334379	0.680055737686009	0.680557769424156	0.432582010107253	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
ctd142	HDR20180908220048	2018-09-08 22:00:48	22.5	200.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.989717480283518	3.4940600978336827	2.3260457222721374	2.765298991714086	2.4258760107816713	1.43256464011181	2.0614954577218727	1.3277428371767994	0.9733453129679545	0.5740241589298193	0.3843466107617051	0.3194569232305081	0.20964360587002095	0.1347708894878706	0.10981331736048718	0.08485574523310373	0.044923629829290206	0.009983028850953379	0.009983028850953379	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0019906359689183	0.00172677943268129	0.00203190520289669	0.00450068918159078	0.00817838797811706	0.00929219537892558	0.0256486263552313	0.0330608641717531	0.0483032928846939	0.0566902301910773	0.0742559497218749	0.122921354364973	0.163006552858212	0.215530172920408	0.356830974886966	0.520653431392259	0.611442512938105	0.283578233341447	0.498971225898918	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
ctd142	HDR20180908220048	2018-09-08 22:00:48	27.5	215.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.26666047030393	4.103541221303095	2.8069523189887535	3.2112649874523655	3.0625522818105773	1.8914397248814945	2.2911051212938003	1.5382470489822473	1.2547634538525885	0.9201598661585649	0.557672646156706	0.44149084487405893	0.40895994051491774	0.28348359512965887	0.2230690584626824	0.10688725718003532	0.07435635282089413	0.0557672646156706	0.004647272051305883	0.004647272051305883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00205196077456247	0.00202798760859875	0.00245199867166192	0.00519270787135129	0.0102762276187795	0.0119498959004794	0.0280946632766375	0.0386294388233378	0.0607558148443882	0.0905349572875244	0.110701864544573	0.174774766771437	0.317798452514938	0.448493326880648	0.701553266920337	0.6692662905448	1.05756279240777	1.35043280617964	0.32168550691733	0.624196031690706	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
ctd142	HDR20180908220048	2018-09-08 22:00:48	32.5	192.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.971387103462575	3.084179970972424	2.2807381297947336	2.9856935517312877	2.8820236367406182	1.8038565208376531	2.49844495127514	1.93344391457599	1.7105535973460504	1.0055981754094963	0.46133112170848023	0.2799087704748082	0.31619324072154265	0.19178934273273898	0.13477088948787064	0.05183495749533486	0.05183495749533486	0.04146796599626788	0.005183495749533485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00132227269417065	0.00152421492230906	0.00199232698996473	0.00483793675233527	0.00969948850686408	0.0114599671958833	0.0312137102368237	0.0473919910268647	0.0830651490182885	0.100283329675998	0.0898974279311257	0.109689310892037	0.251976232491053	0.295852097566701	0.440192464616827	0.333765791411416	0.689863608575209	0.924904197006355	0.258455321845752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
ctd142	HDR20180908220048	2018-09-08 22:00:48	37.5	210.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.20441831800512	0.9291741727505451	0.8722859580923485	1.170949085047881	1.3368730444676211	1.0713947093960368	1.4459087892291647	1.0382099175120887	0.7537688442211056	0.3792547643879776	0.1896273821939888	0.08059163743244524	0.0474068455484972	0.042666160993647485	0.01422205366454916	0.0	0.01422205366454916	0.01422205366454916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00048813485006483	0.000459201847123085	0.000761980884421412	0.00191600123298732	0.00466111462443227	0.00704638302743155	0.0178251189391276	0.0265123866981634	0.0360750678230445	0.0365023527350519	0.0375516866381766	0.0327118234043717	0.0380738722274866	0.0665672317892712	0.0392274828531504	0.0	0.158441219967235	0.395167732984328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
ctd142	HDR20180908220048	2018-09-08 22:00:48	42.5	196.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1315655277919427	0.9077001529831719	0.9026007139214687	1.3564507904130545	1.4482406935237124	1.0096889342172362	1.2289648138704743	0.9382967873533912	0.7292197858235594	0.2702702702702703	0.10198878123406425	0.025497195308516064	0.005099439061703213	0.0	0.0	0.005099439061703213	0.0	0.0	0.005099439061703213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000472002709655247	0.000448589294781961	0.000788462182490464	0.00224989154413832	0.00495757583415215	0.0064491320027522	0.0154530154109191	0.0234588294017732	0.0346384807117641	0.0260111856814224	0.0188760612844706	0.00914661616684809	0.00412536612371599	0.0	0.0	0.0372788400921807	0.0	0.0	0.20147258803155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
ctd142	HDR20180908220048	2018-09-08 22:00:48	47.5	220.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9094702467343978	0.8481494920174166	0.8753628447024674	1.315312046444122	1.3243831640058055	1.043178519593614	1.3788098693759072	0.839078374455733	0.793722786647315	0.3084179970972424	0.0997822931785196	0.036284470246734396	0.0	0.0	0.0	0.0	0.0	0.0045355587808417995	0.0045355587808417995	0.0045355587808417995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000422823093502702	0.000419159103634992	0.000764668682796122	0.00215437829071849	0.00457483895754879	0.00672893265981782	0.0173855763083687	0.0210237611436179	0.0385254342206217	0.0302638590390008	0.0184337276713533	0.0129961260487829	0.0	0.0	0.0	0.0	0.0	0.120203028751352	0.256817317039111	0.547128162390533	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
ctd142	HDR20180908220048	2018-09-08 22:00:48	52.5	188.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2825948696205214	0.6624973500106	0.7101971592113632	0.9380962476150095	1.0016959932160272	0.7631969472122111	0.9274962900148399	0.7101971592113632	0.5246979012083951	0.22789908840364637	0.052999788000847994	0.026499894000423997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000284011092296992	0.000327409021646031	0.000620389053003828	0.00154711987845716	0.00342038762440513	0.00492429265869671	0.0111172651434807	0.0177060238353342	0.0253433211194462	0.021728128558575	0.0102806076668411	0.0115785828751836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
ctd142	HDR20180908220048	2018-09-08 22:00:48	57.5	192.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.098901098901099	0.4768816089570807	0.5598175409496164	0.6894049346879536	0.7671573709309559	0.5027990877047481	0.8552767986730252	0.43023014721127933	0.4665146174580137	0.19697283848227246	0.0725689404934688	0.02591747874766743	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00024333490552446	0.000235676929163754	0.000489025715718615	0.00110214870609308	0.00261139457356386	0.00320556552604948	0.0106109053070456	0.0108549186651271	0.0222164828426815	0.0183371333149103	0.0137381336709373	0.00983383917854012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0																																					
